profile,dataset_position,sample_index,scan_index,slice_index,change_extent,original_accel_dims,sampling_mode,requested_r,effective_r,phase_encode_dim,input_samples,sampled_samples,center_samples,mask_seed,method,runtime_seconds,shared_prior_fit_seconds,amortized_runtime_seconds,stage1_iterations,stage2_iterations,psnr,ssim,nmse,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta,laps_psnr,laps_ssim,laps_gain,magnitude_mae,magnitude_rmse,magnitude_nrmse,magnitude_error_max,relative_data_error
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,Ours: magnitude-phase residual,6.300285022938624,3.413067155983299,7.437974074933057,100.0,200.0,18.050039827917157,0.6027688100710554,0.15591511130332947,0.7241065638940924,0.8479387123497972,0.9028248685050138,0.6451679307404639,-0.2576569377645499,18.106069564819336,0.6021463871002197,0.9413702563441294,0.061706081502554605,0.12516836093879496,0.3948608764347152,1.2768527269363403,0.06359266489744186
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,Current-only complex INR,3.977052704896778,0.0,3.977052704896778,,200.0,16.948016447494993,0.5473154618954954,0.20095117390155792,0.6199789500234016,0.7779070354956598,0.9028248685050138,0.4209313667586209,-0.48189350174639284,18.053266525268555,0.5563786029815674,0.8695275740395426,0.07710564466998818,0.1421005420879021,0.448275779676574,1.177880123257637,0.04551025480031967
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,LAPS-NeRP (released),4.056486394023523,0.0,4.056486394023523,25.0,25.0,23.670276879720227,0.6615571906152552,0.04274294897913933,0.8921211259119135,0.9469399025357615,0.9028248685050138,0.8465944433554169,-0.05623042514959686,22.76919174194336,0.6553201675415039,1.1781448603570661,0.033887235932310716,0.06553641974954814,0.2067436846389138,0.5220799297094345,0.1472802311182022
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,LAPS-NeRP (+scale output),4.056486394023523,0.0,4.056486394023523,25.0,25.0,23.804134833934913,0.6652986982321902,0.04144562780857086,0.8863543833637317,0.8804984129283125,0.9028248685050138,0.8500449940753368,-0.05277987442967691,23.15699005126953,0.6556270122528076,1.063569894101988,0.03268433717079558,0.06453418276035534,0.2035819896787835,0.6304653063416481,0.075148805975914
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,Registered prior,0.0,0.0,0.0,,,17.423082879488046,0.6503104150877168,0.18012911081314087,0.09956738676977073,0.01449462613488404,0.9028248685050138,4.580121774314161,3.677296905809148,18.961294174194336,0.6589183211326599,0.8693872168634665,0.07175691522165009,0.13453720874254374,0.4244162003778052,0.8929332792758942,1.6899631023406982
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,Zero-filled,0.0,0.0,0.0,,,22.961133272653576,0.6243435567253628,0.05032443627715111,0.8716595655701878,0.9155413132345771,0.9028248685050138,0.7849296698590849,-0.1178951986459289,22.10877227783203,0.6201921701431274,1.076357695082285,0.03670261267124189,0.0711115086744012,0.22433107239855213,0.6238541603088379,0.06830526888370514
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,CG-SENSE,0.0411761540453881,0.0,0.0411761540453881,15.0,,25.135982657327407,0.7078041587122004,0.03049958497285843,0.9169070489558303,0.8957508585506316,0.9028248685050138,0.8386733308899836,-0.06415153761503012,24.71014404296875,0.6944760084152222,1.0609377252283816,0.030361119548885675,0.055360171126342034,0.17464130333393246,0.48838940262794495,0.04055599868297577
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,Ours: magnitude-phase residual,5.9876965780276805,3.413067155983299,7.125385630022113,100.0,200.0,14.180475761479075,0.5263741349365455,0.38005340099334717,0.5518783711921527,0.8111403828374142,0.9028248685050138,0.46109083541322327,-0.4417340330917905,14.915175437927246,0.5350652933120728,0.7989115553611882,0.09998311100696947,0.19542169184669106,0.6164847085811983,1.2066972851753235,0.06382336467504501
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,Current-only complex INR,3.9949091670569032,0.0,3.9949091670569032,,200.0,15.580878063663866,0.5150828461192565,0.2752988636493683,0.5319838968393155,0.7111446919275584,0.9028248685050138,0.3609863088889782,-0.5418385596160356,17.063907623291016,0.5286725163459778,0.8192195305647618,0.0897922771986456,0.16632313175849672,0.5246892831778811,1.047347903251648,0.040948040783405304
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,LAPS-NeRP (released),4.114818459143862,0.0,4.114818459143862,25.0,25.0,23.26043120618241,0.6478667733261587,0.046973083168268204,0.8842866680470725,0.9549222250613777,0.9028248685050138,0.8427060074253734,-0.06011886107964037,22.392736434936523,0.6438966393470764,1.1856919165669881,0.03552886294983107,0.06870288841890658,0.2167327472471341,0.5594920367002487,0.14873434603214264
quick,53,53,0,53,1,2,2D,30.0,29.966261808367072,-1,7745,741,317,1060029409,LAPS-NeRP (+scale output),4.114818459143862,0.0,4.114818459143862,25.0,25.0,23.494040715331273,0.6508334998917383,0.04451312869787216,0.880550069117307,0.8947610874248318,0.9028248685050138,0.8493919902746441,-0.053432878230369685,22.723583221435547,0.6438900232315063,1.0713113156137324,0.03343702573264831,0.06687973155170407,0.21098134718834788,0.6503296867012978,0.064568892121315
