method,requested_r,effective_r,runtime_seconds,laps_psnr,laps_ssim,laps_gain,reference_gain,aligned_mae,aligned_rmse,aligned_nrmse,data_error_raw,data_error_supported,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta,trainable_parameters,stage1_iterations,stage2_iterations
Ours tuned (fixed stop),3,2.9767441860465116,34.98326649796218,30.918872833251953,0.8682705760002136,1.2026496998447633,0.841534658513497,0.012354471900706368,0.01990623951862995,0.09688894209069385,0.1419619768857956,0.1419619768857956,0.9549019349641515,0.9058163721958384,1.200013934942738,1.3338274603300933,0.13381352538735536,79298.0,,
Ours tuned (fixed stop),5,4.923076923076923,35.157890463015065,29.17672348022461,0.8451697826385498,1.1961141802003028,0.836961534441775,0.014707423936542953,0.024327447256115714,0.11840813159141719,0.11084522306919098,0.11084522306919098,0.9301586192616218,0.8683732539728561,1.200013934942738,1.3127015260996704,0.1126875911569325,79298.0,,
Ours tuned (fixed stop),6,5.818181818181818,34.224822747986764,28.08791160583496,0.8198771476745605,1.1931682334098377,0.8349001558652592,0.016403759545049516,0.02757637648935186,0.13422153100526313,0.10255634784698486,0.10255634784698486,0.9088815153889226,0.8383146855238098,1.200013934942738,1.31370183927083,0.11368790432809206,79298.0,,
Ours tuned (fixed stop),7,6.7368421052631575,35.38260504999198,27.93027687072754,0.8157781362533569,1.191962923516995,0.8340567597797599,0.01657709284040017,0.028081412030232296,0.13667967279685123,0.09627632796764374,0.09627632796764374,0.9051021040479028,0.8326439995137528,1.200013934942738,1.3172052903433784,0.11719135540064052,79298.0,,
Ours tuned (fixed stop),9,8.533333333333333,34.87287616007961,26.879718780517578,0.8003619909286499,1.1933860616271057,0.835052577634006,0.01816120502799149,0.0316917968182662,0.1542523721670944,0.08641838282346725,0.08641838282346725,0.8762948241119667,0.780977913756931,1.200013934942738,1.3637779716685778,0.16376403672583995,79298.0,,
Ours tuned (fixed stop),11,10.666666666666666,35.18591783987358,25.123994827270508,0.7633101344108582,1.1901106304529867,0.8327606476938479,0.02126646164955754,0.038791186526794724,0.18880698293148002,0.07798845320940018,0.07798845320940018,0.8084370215090966,0.6938792976073817,1.200013934942738,1.3447561527480039,0.14474221780526597,79298.0,,
Ours tuned (fixed stop),13,12.8,34.8692822388839,23.773143768310547,0.7565953731536865,1.1867691777969902,0.8304225202905264,0.023342206745509773,0.045318506915347355,0.22057718074016222,0.07284630089998245,0.07284630089998245,0.7277673390121925,0.5674272292847046,1.200013934942738,1.4007499013196427,0.20073596637690483,79298.0,,
LAPS-NeRP (released),3,2.9767441860465116,85.72097008605488,29.9153995513916,0.8788864612579346,1.5592079558354444,1.0910305260416864,0.013419677282669797,0.02234409565701463,0.10875463385012127,0.27946019172668457,0.27946019172668457,0.9417647377975188,0.8692203533128374,1.200013934942738,1.2465377329013396,0.04652379795860173,1839618.0,630.0,411.0
LAPS-NeRP (+scale diagnostic),3,2.9767441860465116,85.72097008605488,30.69158935546875,0.8803536295890808,1.1897276690970178,0.8324926766845334,0.012342898053056156,0.020433998178938137,0.0994576833252503,0.139205202460289,0.139205202460289,0.9518106464630631,0.9120504292936297,1.200013934942738,1.2100005394666942,0.009986604523956277,1839618.0,630.0,411.0
LAPS-NeRP (released),5,4.923076923076923,103.72093181614764,28.307851791381836,0.8551785945892334,1.5468987197312138,1.0824173373443686,0.01575548486296811,0.026886865846575663,0.13086550001425964,0.2561672031879425,0.2561672031879425,0.9148117527594406,0.81312216570515,1.200013934942738,1.2379672125829537,0.03795327764021583,1839618.0,911.0,347.0
LAPS-NeRP (+scale diagnostic),5,4.923076923076923,103.72093181614764,28.640548706054688,0.8558467030525208,1.1928937228370355,0.8347080715358228,0.015199486965552511,0.025876489140299542,0.1259477288755895,0.1094491183757782,0.1094491183757782,0.9213597258089516,0.8450026935829356,1.200013934942738,1.2070914135374875,0.007077478594749609,1839618.0,911.0,347.0
LAPS-NeRP (released),6,5.818181818181818,84.42151476908475,27.9628849029541,0.8431496620178223,1.54208890379844,1.079051746508548,0.016237759476495656,0.027976188073486348,0.13616751991924866,0.25154393911361694,0.25154393911361694,0.9070583148481576,0.8048570428567704,1.200013934942738,1.2611101663593858,0.061096231416647884,1839618.0,643.0,381.0
